wave_section,track,LL_num,date,livelab_title,livelab_lesson_plan,videos_watch_by,assignment_due_after,notes
1B,DA,LL#11,"Tuesday, 09/30",LinkedIn Workshop,,,Career Milestone #2: Optimize Your LinkedIn Profile,"In this special lab—hosted by the wonderful Abby Samuelson, Director of Careers—we’ll focus on how to create or improve your LinkedIn profile to stand out in the job market and attract opportunities. We'll cover best practices for crafting a compelling headline, optimizing your profile for recruiter searches, showcasing your skills and projects, and building meaningful connections in your field. This session will be combined with students from other sections, so it’s a great chance to network and learn together!"
1B,DA,LL#12,"Thursday, 10/02",Final Project Work,,Portfolio Project: Analyze Website Data for The Grammys 🎵 & Final Thoughts for Part 1,Portfolio Project: Analyzing Website Data with The Grammys,"In this lab, we'll wrap up the past six weeks by reflecting on everything you’ve accomplished and how far you’ve come! 🏆 This session is also dedicated to working on your portfolio project—whether you’re polishing your analysis, fine-tuning visuals, or putting on the final touches."
1B,DA,LL#1,"Thursday, 10/16",Tableau VOTD & Honey Twigs,,Welcome & Getting Started & SkillBuilder 1: Tableau Basics,Milestone 1: Tableau Setup,"In this LiveLab, we’ll officially kick off our Tableau journey 📊 by exploring the many ways you can use it—and get inspired by Tableau’s Viz of the Day 🌟. We’ll also dive into data from a company called Honey Twigs who appeared on Shark Tank! 🦈"
1B,DA,LL#2,"Tuesday, 10/21",Fast Food,,SkillBuilder 2: More Tableau Basics & Bar Charts,Milestone 2: UNESCO WHC Heritage List,"In this LiveLab, we’ll analyze fast food trends across the US and globally 🌍, using Tableau to visualize restaurant popularity, compare regions, and uncover key insights. 🍔"
1B,DA,LL#3,"Thursday, 10/23",Winnie,,SkillBuilder 3: Cleaning Data & Common Charts,Milestone 3: Forbes and the Pay Gap in Hollywood,"In this LiveLab, we’ll analyze data for Winnie, a child care company based in Australia, using Tableau to uncover trends in demand, locations, and services. 🍼🇦🇺"
1B,DA,LL#4,"Tuesday, 10/28",India Water Portal #1,,,Career Milestone #3: Job Qualifications Analysis,"In this LiveLab, we’ll analyze data from India Water Portal, a platform focused on water conservation and management in India, using Tableau to explore water availability, usage trends, and regional insights. 💧🇮🇳"
1B,DA,LL#5,"Thursday, 10/30",Critiquing Visualizations,,SkillBuilder 4: Data Visualization Best Practices,Milestone 4: More Practice with Basic Visualizations,"In this LiveLab, we’ll critique visualizations, exploring what makes a chart effective (or a total disaster) through real-world examples—no Tableau needed! 🎨📊"
1B,DA,LL#6,"Tuesday, 11/04",Squirrel Census,,SkillBuilder 5: Calculated Fields,Milestone 5: Using Calculated Fields for UFO Sightings,"In this LiveLab, we’ll analyze data from the Central Park Squirrel Census—yes, this is a real dataset! Using Tableau, we’ll uncover patterns in squirrel populations, behaviors, and habitats. 🐿️🌳"
1B,DA,LL#7,"Thursday, 11/06",Climb Together,,,Career Milestone #4: Is Your Resume Ready? Ask Bodhi!,"In this lab, we’ll hear from Climb Together 🌟—a company dedicated to building social capital and professional skills. They’ve created an AI chatbot called Goldi, designed to help students practice networking, interviewing, and other forms of professional communication."
1B,DA,LL#8,"Tuesday, 11/11 SKIPPED FOR HOLIDAY!",HOLIDAY,,SkillBuilder 6: Joining & Blending Data,Milestone 6: Super Bowl Analysis,No LiveLab will be held on this day!
1B,DA,LL#9,"Thursday, 11/13",Scoop Analysis,,SkillBuilder 7: Visualizing Distributions,Milestone 7: NYC Green Taxi Fares,"In this lab, we’re diving into data from Scoop—a company that helps commuters team up to carpool to work! 🚗💨  We’ll be exploring how to visualize distributions in Tableau 🎨"
1B,DA,LL#10,"Tuesday, 11/18",India Water Portal #2,,SkillBuilder 8: Dual Axis Plots & Parameters & SkillBuilder 9: Dashboards & Data Storytelling,Optional LevelUp Billboard Hits and Spotify Analysis,"In this lab, we're diving back into some visualizations we created for India Water Portal and turning them into a beautiful dashboard."
1B,DA,LL#11,"Thursday, 11/20",CareerReady Workshop,,Optional LevelUp SkillBuilder Time Series & Table Calculations,Career Milestone #5: Bringing it All Together & Optional LevelUp Pineapple on Pizza,"In this LiveLab, we’ll dive into career readiness with the one and only Abby Samuelson, Director of Careers! 🌟 Topic #1: Know who you are and what your value is. Topic #2: Know how to write it. Topic #3: Know how to share it. 💼📢"
1B,DA,LL#12,"Tuesday, 11/25",Final Project Work,,Portfolio Project: Build a Data Center with Intel,Portfolio Project: Build a Data Center with Intel,"In this LiveLab, we’ll focus on final project work—bringing together everything you’ve learned! We’ll also take time to reflect on our journey together over the past 12 weeks! 🚀📊"
